      x1        x2         z
    0.3119    1.9279    0.8367
    2.6557   -3.0138    0.1112
    0.6334   -2.1076   -0.6404
    1.9283    0.9298   -0.2868
   -2.7707   -2.2443    0.7856
   -0.9401    0.2967    0.1661
   -2.9031   -2.2443    0.7447
    3.0618   -0.5556    0.5284
   -1.1186    0.6294    0.2546
   -1.7247   -1.7989    0.1549
    1.9283    0.6294   -0.2184
   -0.9401   -2.7585   -0.2371
   -0.3145    0.2967    0.2710
    0.3119   -2.2443   -0.7328
   -1.1186   -0.8417   -0.3365
         0    0.2967    0.2762
    3.0618   -1.6039    1.0085
    3.0618    2.7486   -0.4196
    3.0618   -0.8417    0.6927
    2.5464    2.7486   -0.3081
    1.5159    1.5818    0.0542
    1.2983    1.5818    0.2831
         0   -1.6039   -0.9710
   -0.3145    1.9279    0.8704
    1.5159    1.9279    0.0480
         0   -0.5556   -0.4864
   -0.6367   -0.8417   -0.5616
    2.6557    1.1519   -0.8428
    1.5159   -0.3094   -0.0158
   -2.7707   -2.7585    0.3194
   -1.6126    1.7479   -0.0447
         0   -2.7585   -0.3891
    3.0618    1.7479   -1.0522
   -2.0126   -0.3094    0.1410
    1.2983   -2.7585   -0.0919
    1.5159   -2.1076   -0.0481
    3.0618    2.5090   -0.6409
    0.3119   -0.3094   -0.3063
   -2.0126   -0.5556    0.2221
    2.5464    1.7479   -0.8234
   -1.6126   -2.2443    0.0335
    2.6557   -2.1076    0.7563
   -1.6126   -1.6039    0.0410
   -0.3145    2.7486    0.3432
   -0.6367   -3.0138   -0.0931
   -2.2586         0         0
    2.6557    1.5818   -0.8491
   -2.0126   -0.8417    0.3069
    0.3119    1.7479    0.8438
   -0.6367   -2.7585   -0.2848
   -1.6126    1.1519   -0.0351
   -1.7247   -3.0138    0.0210
   -2.7707   -1.2175    0.8091
   -2.0126   -1.7989    0.4502
   -0.6367    2.5090    0.4527
         0    1.7479    1.0115
    0.6334   -0.5556   -0.4534
    2.5464   -3.0138    0.1099
   -2.7707    1.9279   -0.8073
    1.2983   -1.6039   -0.2617
    0.3119   -3.0138   -0.1312
    2.5464    1.1519   -0.7880
   -2.0126    1.1519   -0.4219
    0.8757   -1.6039   -0.5869
   -2.0126    2.5090   -0.2638
   -0.9401   -1.7989   -0.6064
         0    1.9279    1.0260
   -1.7247    0.2967   -0.0489
   -1.6126   -1.2175    0.0396
    2.5464    0.9298   -0.6522
   -0.9401    0.6294    0.3783
         0    2.8169    0.3139
   -2.2586   -0.3094    0.2118
    0.6334    1.1519    0.7773
    1.2983   -2.1076   -0.2203
   -1.6126   -0.5556    0.0219
    0.6334         0         0
    2.5464    1.5818   -0.8002
    0.3119    0.2967    0.2715
    1.5159   -1.6039   -0.0508
   -2.0126   -2.7585    0.1622
    0.3119         0         0
   -2.2586    0.9298   -0.4685
   -2.7707   -0.8417    0.6540
    1.9283         0         0
   -1.1186   -0.3094   -0.1425
    1.2983    1.9279    0.2277
    2.2922    0.6294   -0.4135
    0.8757   -0.5556   -0.3184
   -0.3145    0.9298    0.7328
    3.0618    0.9298   -0.8208
    0.3119    1.1519    0.8439
    0.3119   -1.6039   -0.9670
    1.9283    2.5090   -0.2176
    2.2922    1.7479   -0.7038
   -1.1186   -2.7585   -0.1792
   -0.6367    2.7486    0.2798
    2.2922   -2.7585    0.2693
   -2.7707    2.5090   -0.5061
    0.6334   -1.2175   -0.7580
    2.5464   -1.6039    0.7743
    0.3119   -2.7585   -0.3609
    3.0618    2.8169   -0.3274
         0   -2.2443   -0.8153
   -2.9031         0         0
   -2.2586   -0.8417    0.4879
   -2.9031    0.6294   -0.6198
    1.2983    2.7486    0.1043
    1.9283    1.5818   -0.3513
         0    0.6294    0.5461
   -2.2586    2.5090   -0.3458
    3.0618   -2.7585    0.3728
   -2.2586    1.1519   -0.6309
         0   -3.0138   -0.1331
    2.2922    1.1519   -0.5955
    0.8757    0.9298    0.5163
    1.5159    1.1519    0.0486
    3.0618    1.5818   -1.0658
    0.6334   -2.2443   -0.5766
   -0.6367   -0.5556   -0.4318
   -2.7707   -1.6039    0.9962
   -1.7247    2.5090   -0.0853
    0.6334   -3.0138   -0.0951
    1.2983   -0.3094   -0.0814
    1.2983    0.9298    0.1955
   -0.9401   -0.3094   -0.1752
   -0.6367    2.8169    0.2814
    0.8757         0         0
   -0.6367   -2.1076   -0.7390
    2.2922   -0.5556    0.3682
   -1.6126   -0.8417    0.0329
   -0.3145   -1.2175   -0.8453
         0    0.9298    0.7698
   -2.2586    0.2967   -0.2011
    2.6557   -1.2175    0.8750
   -1.1186    2.7486    0.1560
   -0.9401    1.5818    0.5660
   -2.2586    0.6294   -0.3471
    1.5159         0         0
    1.9283    0.2967   -0.1117
   -2.7707    2.8169   -0.3076
         0   -0.3094   -0.3268
   -1.1186    0.2967    0.1269
   -2.7707   -1.7989    0.9205
   -0.6367   -2.2443   -0.6198
   -1.1186   -3.0138   -0.0611
   -2.7707    2.7486   -0.3719
    2.6557   -1.7989    0.8323
   -1.1186   -2.2443   -0.3440
    0.3119   -1.2175   -0.8736
   -2.7707    0.9298   -0.7213
   -1.6126    2.5090   -0.0245
   -2.0126    0.6294   -0.2671
   -0.9401    0.9298    0.5057
   -1.1186    2.8169    0.1514
    0.3119    2.8169    0.3147
    1.5159   -0.8417   -0.0446
    1.9283   -2.2443    0.2950
    1.2983         0         0
    1.5159   -2.2443   -0.0425
   -0.3145    2.8169    0.2907
    3.0618   -2.1076    0.9355
   -1.1186         0         0
    0.8757    2.5090    0.4155
   -1.1186   -0.5556   -0.2275
    2.5464    1.9279   -0.8529
   -0.9401    1.9279    0.5387
   -2.7707   -0.5556    0.4473
    2.5464    2.8169   -0.2847
    2.2922    1.5818   -0.6657
   -2.9031   -1.6039    1.0460
   -1.7247         0         0
   -1.7247   -2.7585    0.0534
   -1.1186   -1.6039   -0.4348
         0    2.5090    0.5712
    2.6557    1.9279   -0.8973
    2.6557    2.8169   -0.2614
   -0.6367    0.9298    0.6091
   -0.3145   -3.0138   -0.1174
    3.0618   -2.2443    0.7634
    2.5464   -0.5556    0.4253
    2.2922   -0.8417    0.5297
    0.3119    2.7486    0.3621
    0.8757    0.2967    0.1838
   -1.1186    1.7479    0.4166
   -2.0126    0.9298   -0.3577
   -2.2586   -1.6039    0.5878
    0.8757   -0.3094   -0.2049
   -1.7247   -0.3094    0.0507
   -0.9401    2.7486    0.2483
    3.0618   -0.3094    0.2926
   -2.9031    1.5818   -0.9081
    1.5159    2.8169    0.0172
    1.5159    0.9298    0.0448
   -2.0126         0         0
    1.9283   -0.3094    0.1090
   -2.0126    2.7486   -0.1531
   -1.1186   -2.1076   -0.4051
    0.8757    1.9279    0.5924
   -0.9401   -1.2175   -0.5918
   -2.0126   -2.2443    0.3624
    2.2922    2.8169   -0.2011
    2.2922    2.5090   -0.3519
    0.8757   -2.7585   -0.2281
    0.6334    1.9279    0.7285
   -2.2586    1.9279   -0.5482
   -1.7247    0.9298   -0.1264
    1.5159   -3.0138   -0.0066
   -1.7247   -0.5556    0.0760
    0.6334    0.9298    0.6737
    1.9283    2.8169   -0.1138
